[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /home/jovyan/work
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://6fb25eade247:8888/
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | INFO] 302 GET / (10.0.0.111) 0.54ms
[NotebookApp | ERROR] Could not open static file ''
[NotebookApp | INFO] 302 GET / (73.145.170.32) 0.46ms
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (73.145.170.32) 5.39ms referer=https://instructorgmvozbye.coursera-apps.org/tree?
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (73.145.170.32) 1.00ms referer=https://instructorgmvozbye.coursera-apps.org/tree?
[NotebookApp | INFO] New terminal with automatic name: 1
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (73.145.170.32) 0.95ms referer=https://instructorgmvozbye.coursera-apps.org/terminals/1
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (73.145.170.32) 1.00ms referer=https://instructorgmvozbye.coursera-apps.org/terminals/1
[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /home/jovyan/work
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://025a8e1e0a71:8888/
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | INFO] 302 GET / (10.0.0.88) 0.54ms
[NotebookApp | ERROR] Could not open static file ''
[NotebookApp | INFO] 302 GET / (68.42.71.45) 0.48ms
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (68.42.71.45) 5.01ms referer=https://instructorgmvozbye.coursera-apps.org/tree?
[NotebookApp | WARNING] 404 GET /static/components/react/react-dom.production.min.js (68.42.71.45) 1.55ms referer=https://instructorgmvozbye.coursera-apps.org/tree?
[NotebookApp | INFO] Uploading file to /resources/datasets/mpg.csv
[NotebookApp | INFO] 302 GET / (10.0.0.96) 0.47ms
[NotebookApp | INFO] 302 GET / (10.0.0.92) 0.46ms
